timestamp,open,high,low,close,volume,symbol
2025-11-18 16:00:00,92873.7,93747.3,92530.1,93439.9,282.14555928,BTC/USD
2025-11-18 17:00:00,93439.9,93596.6,92789.0,93186.3,75.653698,BTC/USD
2025-11-18 18:00:00,93186.3,93710.6,93144.4,93278.5,62.24836881,BTC/USD
2025-11-18 19:00:00,93278.5,93547.5,92965.7,93139.8,76.67760043,BTC/USD
2025-11-18 20:00:00,93139.9,93260.0,92596.4,92785.1,61.82516001,BTC/USD
2025-11-18 21:00:00,92785.1,92976.2,92424.1,92440.0,43.9727423,BTC/USD
2025-11-18 22:00:00,92440.0,93345.8,92439.9,93100.0,56.72258891,BTC/USD
2025-11-18 23:00:00,93100.0,93105.2,92702.2,92966.1,42.27094917,BTC/USD
2025-11-19 00:00:00,92966.1,92966.1,91858.3,92384.5,60.12574706,BTC/USD
2025-11-19 01:00:00,92384.6,92530.4,91912.0,92378.1,28.28497525,BTC/USD
2025-11-19 02:00:00,92378.0,92753.5,92204.7,92517.1,39.10103426,BTC/USD
2025-11-19 03:00:00,92517.1,92561.3,92443.3,92450.0,0.44402261,BTC/USD
2025-11-19 04:00:00,92440.0,92440.1,91383.2,91417.6,163.13604941,BTC/USD
2025-11-19 05:00:00,91844.0,91844.1,89781.9,90350.0,301.17253046,BTC/USD
2025-11-19 06:00:00,90350.0,91000.1,90224.2,90924.4,120.54526916,BTC/USD
2025-11-19 07:00:00,90924.4,91941.4,90897.3,91852.2,97.1747273,BTC/USD
2025-11-19 08:00:00,91852.2,91858.0,91318.4,91418.0,47.06875854,BTC/USD
2025-11-19 09:00:00,91415.9,91447.2,91040.0,91385.8,153.09666828,BTC/USD
2025-11-19 10:00:00,91385.8,91592.7,91172.1,91259.9,53.75542346,BTC/USD
2025-11-19 11:00:00,91260.0,91660.3,91251.8,91366.0,23.22726969,BTC/USD
2025-11-19 12:00:00,91366.0,91800.0,91207.9,91701.0,72.14709999,BTC/USD
2025-11-19 13:00:00,91701.0,91800.0,91192.7,91315.4,51.70055082,BTC/USD
2025-11-19 14:00:00,91315.4,91799.9,91000.9,91669.7,67.41475709,BTC/USD
2025-11-19 15:00:00,91669.7,92362.6,89795.3,89881.5,297.83167018,BTC/USD
2025-11-19 16:00:00,89881.5,90152.6,89400.0,89846.9,275.80371931,BTC/USD
2025-11-19 17:00:00,89846.8,90000.0,88888.0,89444.8,348.22329421,BTC/USD
2025-11-19 18:00:00,89444.8,89618.2,88700.0,89135.3,299.07687215,BTC/USD
2025-11-19 19:00:00,89135.3,89238.6,88570.0,88777.9,507.09761092,BTC/USD
2025-11-19 20:00:00,88777.9,89538.9,88547.0,89477.1,293.47439132,BTC/USD
2025-11-19 21:00:00,89429.4,90731.2,89350.0,90508.7,218.76457796,BTC/USD
2025-11-19 22:00:00,90508.8,90513.5,90023.7,90373.2,91.95419055,BTC/USD
2025-11-19 23:00:00,90373.2,91471.6,90373.2,91427.7,173.40160508,BTC/USD
2025-11-20 00:00:00,91427.7,92196.1,91116.0,91800.1,161.92481793,BTC/USD
2025-11-20 01:00:00,91800.1,92622.0,91800.0,92448.9,56.47027267,BTC/USD
2025-11-20 02:00:00,92448.9,92655.9,92239.1,92510.6,78.75594932,BTC/USD
2025-11-20 03:00:00,92510.7,92612.3,92336.7,92396.4,110.00376383,BTC/USD
2025-11-20 04:00:00,92396.4,92876.5,92099.7,92872.5,66.68808197,BTC/USD
2025-11-20 05:00:00,92872.5,93003.7,92500.0,92532.7,33.21126953,BTC/USD
2025-11-20 06:00:00,92532.7,92764.9,91614.9,91864.9,35.02704794,BTC/USD
2025-11-20 07:00:00,91865.0,92298.8,91738.6,92255.1,19.56408681,BTC/USD
2025-11-20 08:00:00,92255.1,92322.2,92000.0,92000.1,28.20566584,BTC/USD
2025-11-20 09:00:00,92000.1,92000.1,91406.2,91795.0,29.00177979,BTC/USD
2025-11-20 10:00:00,91795.0,91940.0,91528.8,91705.0,70.97593227,BTC/USD
2025-11-20 11:00:00,91705.0,91873.0,91406.1,91873.0,59.32539572,BTC/USD
2025-11-20 12:00:00,91873.0,91896.4,91604.4,91767.8,51.0535725,BTC/USD
