timestamp,open,high,low,close,volume
2025-12-17 22:06:00,0.44,0.442,0.44,0.442,601.27
2025-12-17 22:11:00,0.442,0.442,0.442,0.442,1314.58
2025-12-17 22:14:00,0.441,0.441,0.441,0.441,1462.0
2025-12-17 22:24:00,0.442,0.442,0.442,0.442,2586.26
2025-12-17 22:25:00,0.442,0.442,0.442,0.442,2449.92
2025-12-17 22:28:00,0.444,0.444,0.442,0.442,45.16
2025-12-17 22:57:00,0.443,0.444,0.442,0.442,813.79
2025-12-17 23:11:00,0.442,0.442,0.442,0.442,1176.29
2025-12-17 23:21:00,0.441,0.441,0.44,0.44,414.69
2025-12-17 23:27:00,0.44,0.44,0.44,0.44,30.68
2025-12-17 23:38:00,0.441,0.442,0.441,0.442,7.85
2025-12-17 23:56:00,0.442,0.442,0.442,0.442,2263.59
2025-12-18 00:09:00,0.441,0.441,0.441,0.441,101.26
2025-12-18 00:16:00,0.441,0.442,0.441,0.442,134.66
2025-12-18 00:22:00,0.441,0.441,0.441,0.441,534.56
2025-12-18 00:24:00,0.441,0.441,0.441,0.441,376.1
2025-12-18 00:33:00,0.442,0.442,0.441,0.441,823.75
2025-12-18 00:48:00,0.442,0.443,0.442,0.443,8.21
2025-12-18 01:00:00,0.442,0.442,0.442,0.442,1437.93
2025-12-18 01:04:00,0.441,0.441,0.441,0.441,2.24
2025-12-18 01:05:00,0.44,0.44,0.439,0.439,681.48
2025-12-18 01:12:00,0.439,0.439,0.439,0.439,31.63
2025-12-18 01:29:00,0.44,0.44,0.44,0.44,862.0
2025-12-18 01:31:00,0.44,0.44,0.44,0.44,1170.63
2025-12-18 01:40:00,0.44,0.441,0.44,0.441,226.12
2025-12-18 01:46:00,0.441,0.441,0.44,0.441,468.67
2025-12-18 01:51:00,0.441,0.441,0.44,0.44,3147.86
2025-12-18 01:54:00,0.44,0.44,0.44,0.44,625.0
2025-12-18 01:58:00,0.44,0.44,0.44,0.44,377.4
2025-12-18 02:07:00,0.441,0.441,0.441,0.441,54.73
2025-12-18 02:15:00,0.442,0.443,0.442,0.443,393.66
2025-12-18 02:19:00,0.443,0.443,0.443,0.443,55.03
2025-12-18 02:21:00,0.442,0.442,0.441,0.441,5.75
2025-12-18 02:27:00,0.441,0.442,0.441,0.442,1793.51
2025-12-18 02:35:00,0.443,0.443,0.443,0.443,37.35
2025-12-18 02:36:00,0.443,0.443,0.443,0.443,2.19
2025-12-18 02:45:00,0.443,0.443,0.442,0.442,750.23
2025-12-18 02:48:00,0.443,0.443,0.443,0.443,375.0
2025-12-18 02:51:00,0.442,0.443,0.442,0.443,10.18
2025-12-18 02:53:00,0.443,0.443,0.443,0.443,20.0
