timestamp,open,high,low,close,volume
2022-01-01,20000.0,20200.0,19800.0,20000.0,5261
2022-01-02,20446.061629147862,20650.52224543934,20241.601012856383,20446.061629147862,1280
2022-01-03,20300.777847346322,20503.785625819786,20097.77006887286,20300.777847346322,1995
2022-01-04,20799.329471274228,21007.32276598697,20591.336176561486,20799.329471274228,1726
2022-01-05,20550.503800794304,20756.00883880225,20344.99876278636,20550.503800794304,5344
2022-01-06,21071.118026906257,21281.82920717532,20860.406846637194,21071.118026906257,1134
2022-01-07,21016.534979062035,21226.700328852654,20806.369629271416,21016.534979062035,2993
2022-01-08,20914.910486668403,21124.059591535086,20705.76138180172,20914.910486668403,3806
2022-01-09,20561.442503361275,20767.05692839489,20355.82807832766,20561.442503361275,4065
2022-01-10,20522.96071804072,20728.190325221127,20317.73111086031,20522.96071804072,1057
2022-01-11,20130.63407036533,20331.940411068983,19929.327729661676,20130.63407036533,5309
2022-01-12,18553.632525976005,18739.168851235765,18368.096200716245,18553.632525976005,5133
2022-01-13,17257.881565650325,17430.460381306828,17085.30274999382,17257.881565650325,1993
2022-01-14,16005.104695793609,16165.155742751545,15845.053648835672,16005.104695793609,1339
2022-01-15,14818.429799040843,14966.614097031252,14670.245501050435,14818.429799040843,5899
2022-01-16,14433.169482233932,14577.501177056272,14288.837787411592,14433.169482233932,2036
2022-01-17,14297.526441648737,14440.501706065224,14154.55117723225,14297.526441648737,4743
2022-01-18,14072.482488486849,14213.207313371717,13931.75766360198,14072.482488486849,4245
2022-01-19,14068.534185931117,14209.219527790428,13927.848844071807,14068.534185931117,5653
2022-01-20,13613.035972179858,13749.166331901657,13476.905612458058,13613.035972179858,4349
2022-01-21,13590.660474776763,13726.567079524531,13454.753870028995,13590.660474776763,4111
2022-01-22,13569.633383828354,13705.329717666636,13433.93704999007,13569.633383828354,3024
2022-01-23,13574.564224002343,13710.309866242365,13438.81858176232,13574.564224002343,5529
2022-01-24,13955.152365633621,14094.703889289958,13815.600841977284,13955.152365633621,3123
2022-01-25,14155.916097558635,14297.475258534221,14014.356936583048,14155.916097558635,2205
2022-01-26,13844.40088245087,13982.844891275377,13705.95687362636,13844.40088245087,2628
2022-01-27,13423.250039656583,13557.482540053148,13289.017539260018,13423.250039656583,3303
2022-01-28,14012.102419481938,14152.223443676758,13871.981395287119,14012.102419481938,1925
2022-01-29,14062.636544932477,14203.262910381802,13922.010179483152,14062.636544932477,5529
2022-01-30,14139.250129923223,14280.642631222456,13997.85762862399,14139.250129923223,5975
